transaction_id,date,customer_name,movie_title,ticket_type,ticket_quantity,ticket_price,concession_items,concession_total,payment_method,total_amount
TXN028,2024-01-26,William Hill,Saltburn,Student,1,13.0,"Pretzel,Water,Soda",17.25,Debit Card,30.25
TXN029,2024-01-25,Barbara Scott,The Zone Of Interest,Adult,2,15.5,"Popcorn,Soda",19.5,Credit Card,50.5
TXN030,2024-01-26,Richard Green,All Of Us Strangers,Adult,1,15.5,"Hot Dog,Nachos",20.0,Cash,35.5
TXN031,2024-01-26,Thomas Baker,The Hunger Games: The Ballad,Adult,3,15.5,"Popcorn,Soda,Candy,Nachos",42.0,Credit Card,88.5
TXN033,2024-01-27,Donald Campbell,Wish,Child,4,10.0,"Candy,Popcorn,Soda",33.0,Debit Card,73.0
TXN034,2024-01-28,Patricia Mitchell,Wish,Child,4,10.0,"Candy,Popcorn,Soda",33.0,Debit Card,73.0
TXN035,2024-01-28,Mark Roberts,The Boy And The Heron,Adult,2,15.5,"Hot Dog,Nachos,Soda",28.75,Credit Card,59.75
TXN036,2024-01-28,Carol Phillips,The Boy And The Heron,Adult,2,15.5,"Hot Dog,Nachos,Soda",28.75,Credit Card,59.75
TXN037,2024-01-26,Betty Turner,Wonka,Student,1,13.0,Popcorn,5.5,Cash,18.5
TXN038,2024-01-29,Jeffrey Evans,Aquaman And The Lost Kingdom,Senior,1,12.0,"Candy,Soda",11.0,Cash,23.0
TXN039,2024-01-29,Dorothy Collins,Freelance,Adult,2,15.5,"Popcorn,Hot Dog,Soda,Candy",36.5,Debit Card,67.5
TXN040,2024-01-30,Jason Stewart,Renaissance: A Film By Beyoncé,Adult,3,15.5,"Nachos,Soda,Water",23.25,Credit Card,69.75
TXN041,2024-01-30,Helen Morris,Taylor Swift: The Eras Tour,Adult,4,15.5,"Popcorn,Candy,Soda",39.0,Credit Card,101.0
TXN042,2024-01-31,Gary Rogers,Taylor Swift: The Eras Tour,Adult,4,15.5,"Popcorn,Candy,Soda",39.0,Credit Card,101.0
TXN043,2024-01-31,Shirley Reed,Nyad,Senior,1,12.0,"Water,Pretzel",8.25,Cash,20.25
TXN044,2024-01-31,Larry Cook,Memory,Student,2,13.0,"Hot Dog,Popcorn,Soda",24.5,Debit Card,50.5
TXN045,2024-01-26,Deborah Bailey,Memory,Student,2,13.0,"Hot Dog,Popcorn,Soda",24.5,Debit Card,50.5
TXN046,2024-02-01,Gregory Cooper,Leo,Child,3,10.0,"Candy,Popcorn,Soda",29.25,Cash,59.25
TXN047,2024-02-01,Ruth Richardson,Leo,Child,3,10.0,"Candy,Popcorn,Soda",29.25,Cash,59.25
TXN048,2024-02-01,Frank Cox,The Marvels,Adult,2,15.5,"Nachos,Soda,Candy",27.0,Credit Card,58.0
TXN049,2024-02-02,Maria Howard,The Marvels,Adult,2,15.5,"Nachos,Soda,Candy",27.0,Credit Card,58.0
TXN050,2024-01-26,Aaron Ward,Trolls Band Together,Child,5,10.0,"Popcorn,Candy,Soda,Hot Dog,Nachos",48.0,Cash,98.0
TXN051,2024-02-02,Judy Torres,Trolls Band Together,Child,5,10.0,"Popcorn,Candy,Soda,Hot Dog,Nachos",48.0,Cash,98.0
TXN052,2024-02-02,Henry Peterson,Next Goal Wins,Adult,1,15.5,Water,3.5,Debit Card,19.0
TXN053,2024-02-03,Pamela Gray,Next Goal Wins,Adult,1,15.5,Water,3.5,Debit Card,19.0
TXN054,2024-03-02,Walter Ramirez,The Shift,Senior,2,12.0,"Pretzel,Soda,Candy",19.75,Cash,43.75
TXN055,2024-02-04,Virginia James,Silent Night,Student,1,13.0,"Popcorn,Soda,Candy",18.0,Credit Card,31.0
TXN056,2024-02-04,Arthur Watson,Silent Night,Student,1,13.0,"Popcorn,Soda,Candy",18.0,Credit Card,31.0
TXN057,2024-02-05,Teresa Brooks,Unknown,Adult,2,15.5,"Hot Dog,Nachos,Soda",28.0,Debit Card,59.0
TXN058,2024-01-26,Ralph Kelly,Ricky Stanicky,Adult,3,15.5,"Popcorn,Candy",24.5,Cash,71.0
TXN059,2024-02-05,Frances Sanders,Ricky Stanicky,Adult,3,15.5,"Popcorn,Candy",24.5,Cash,71.0
TXN060,2024-02-06,Roy Price,The Bricklayer,Senior,1,12.0,"Water,Pretzel",8.0,Debit Card,20.0
